Lon,Lat
-77.0036087,37.30166626
-76.99277496,37.29583359
-77.0047226,37.29333496
-76.9980545,37.29222107
-76.98527527,37.24472046
-77.01194763,37.23361206
-77.01972198,37.21777725
-77.01305389,37.21305466
-77.02467346,37.20700836
-77.02388763,37.20277786
-77.0114975,37.21181488
-77.01833344,37.21888733
-77.01139069,37.23249817
-76.98818207,37.23336411
-76.98083496,37.24083328
-76.94914246,37.23075867
-76.90000153,37.19916534
-76.86611176,37.20916748
-76.8041687,37.20722198
-76.80075836,37.19362259
-76.81027985,37.17638779
-76.79389191,37.18916702
-76.73641205,37.14617157
-76.71459198,37.14894104
-76.68722534,37.1883316
-76.69132996,37.19425964
-76.68360901,37.19552994
-76.66374969,37.17300797
-76.68222046,37.17055511
-76.66860962,37.16722107
-76.67209625,37.14181519
-76.65698242,37.10883331
-76.66944122,37.06972122
-76.66394806,37.04721832
-76.64794922,37.03683853
-76.58718109,37.02897644
-76.5763855,37.01972198
-76.58516693,37.00525665
-76.57971954,37
-76.55998993,37.00363159
-76.48610687,36.9560585
-76.48664856,36.93868256
-76.49972534,36.95055389
-76.51000214,36.94972229
-76.4991684,36.94055557
-76.49628448,36.92441177
-76.51567841,36.91620255
-76.53500366,36.88944626
-76.49194336,36.92166519
-76.48007965,36.91407394
-76.48309326,36.89697647
-76.50965881,36.88930511
-76.50983429,36.87790298
-76.52471924,36.86966705
-76.53186798,36.8495903
-76.55032349,36.83665085
-76.56265259,36.83717346
-76.56658173,36.82876587
-76.55609131,36.81685638
-76.56383514,36.79660797
-76.56238556,36.78800583
-76.55113983,36.81545639
-76.55615997,36.83076477
-76.53523254,36.83306122
-76.53246307,36.84083557
-76.5117569,36.84759903
-76.52124786,36.85533905
-76.49201202,36.87136078
-76.49546814,36.88032532
-76.45571136,36.88378143
-76.4422226,36.90638733
-76.39031219,36.89588928
-76.38527679,36.92444611
-76.35583496,36.92444611
-76.34967041,36.89578247
-76.33911896,36.89313889
-76.33721924,36.88000107
-76.35240936,36.88822556
-76.36164093,36.88538742
-76.35181427,36.88456726
-76.34095001,36.8602066
-76.36223602,36.85793304
-76.3575592,36.85335922
-76.36884308,36.84009171
-76.38666534,36.84166718
-76.38973999,36.83316803
-76.40375519,36.83312225
-76.39810944,36.82663345
-76.40416718,36.81499863
-76.40249634,36.80916595
-76.3862915,36.83382797
-76.36472321,36.8300972
-76.34331512,36.85491943
-76.31493378,36.85805893
-76.3137207,36.84970474
-76.29579926,36.84049988
-76.29128265,36.82120514
-76.2924881,36.79911804
-76.3105545,36.77972412
-76.29722595,36.77416611
-76.30066681,36.76317215
-76.29865265,36.74338913
-76.30916595,36.73389053
-76.30055237,36.74027634
-76.29143524,36.7336731
-76.24972534,36.72360992
-76.29701996,36.73997879
-76.29090118,36.75305557
-76.29797363,36.76236343
