Lon,Lat
-76.10481262,36.53160095
-76.09333038,36.52527618
-76.09496307,36.51753616
-76.07824707,36.51120758
-76.08041382,36.49930573
-76.04045868,36.50219727
-76.01191711,36.44731903
-75.97138214,36.4375
-75.96161652,36.41698074
-75.98020172,36.43216324
-76.00166321,36.42472076
-75.99111176,36.4169426
-75.99468994,36.40890121
-75.95825195,36.38259888
-75.95806885,36.37293243
-75.94412231,36.36206818
-75.9430542,36.37277603
-75.95965576,36.39899063
-75.93019867,36.3897934
-75.93349457,36.40954208
-75.94462585,36.41197205
-75.93317413,36.42186737
-75.93564606,36.42955399
-75.92382812,36.42490387
-75.91527557,36.38666534
-75.92972565,36.36444473
-75.89706421,36.3233223
-75.88290405,36.28590012
-75.86166382,36.27416611
-75.8658371,36.26027679
-75.85749817,36.25722122
-75.87216949,36.25335693
-75.85428619,36.21706772
-75.84055328,36.21694565
-75.82833099,36.19111252
-75.84527588,36.2108345
-75.85333252,36.20999908
-75.81078339,36.12033463
-75.79827881,36.11723709
-75.80254364,36.09914017
-75.78942108,36.07897186
-75.79528046,36.07194519
-75.84722137,36.10138702
-75.8631897,36.12145233
-75.86360931,36.1613884
-75.87627411,36.18429184
-75.90756989,36.20765305
-75.91944122,36.24499893
-75.94694519,36.25666809
-75.93852997,36.26989365
-75.94891357,36.25868988
-75.95928955,36.26013184
-75.94527435,36.27222061
-75.94760132,36.28109741
-75.93741608,36.28651047
-75.93672943,36.29170609
-75.94263458,36.28502274
-75.9629364,36.290905
-75.96941376,36.31579208
-75.96444702,36.32277679
-75.97440338,36.32847595
-75.97618103,36.31366348
-75.99620819,36.31332779
-76.00027466,36.32486343
-76.01865387,36.3328476
-76.01583099,36.34388733
-76.03583527,36.35416794
-76.03177643,36.33787918
-76.01753998,36.34378815
-76.02194977,36.33271027
-76.0047226,36.32444382
-76.00971985,36.31611252
-76.00250244,36.30583191
-75.97250366,36.30336761
-75.98854828,36.29900742
-75.99396515,36.29341507
-75.97301483,36.29967117
